iter	Passed	Remaining
177	60851	281009
178	61198	280694
179	61574	280504
180	61895	280070
181	62242	279751
182	62593	279446
183	62949	279168
184	63265	278711
185	63598	278326
186	63941	277991
187	64302	277730
188	64652	277423
189	64968	276968
190	65316	276654
191	65669	276358
192	66024	276073
193	66414	275929
194	66747	275546
195	67097	275238
196	67443	274910
197	67791	274589
198	68120	274194
199	68447	273788
200	68796	273472
201	69118	273053
202	69452	272679
203	69808	272390
204	70147	272036
205	70452	271549
206	70775	271133
207	71119	270799
208	71475	270510
209	71826	270205
210	72178	269898
211	72497	269472
212	72836	269118
213	73171	268751
214	73515	268417
215	73861	268090
216	74181	267670
217	74534	267365
218	74888	267067
219	75236	266746
220	75581	266417
221	75930	266098
222	76246	265667
223	76568	265254
224	76919	264945
225	77271	264639
226	77626	264340
227	77974	264019
228	78328	263718
229	78658	263334
230	79014	263038
231	79371	262747
232	79679	262291
233	80005	261898
234	80354	261578
235	80693	261229
236	81041	260904
237	81378	260549
238	81745	260287
239	82064	259871
240	82402	259518
241	82748	259186
242	83094	258859
243	83441	258533
244	83798	258235
245	84115	257815
246	84471	257519
247	84813	257177
248	85141	256792
249	85476	256429
250	85791	256008
251	86145	255702
252	86469	255307
253	86819	254988
254	87167	254665
255	87523	254366
256	87860	254010
257	88189	253629
258	88542	253320
259	88873	252947
260	89186	252525
261	89528	252184
262	89856	251802
263	90171	251387
264	90501	251013
265	90854	250704
266	91194	250357
267	91536	250017
268	91867	249647
269	92181	249231
270	92532	248916
271	92862	248543
272	93210	248220
273	93559	247898
274	93912	247588
275	94241	247213
276	94592	246897
277	94938	246567
278	95272	246206
279	95587	245797
280	95895	245370
281	96244	245047
282	96579	244691
283	96941	244402
284	97280	244054
285	97592	243639
286	97952	243344
287	98306	243034
288	98655	242712
289	98998	242375
290	99344	242044
291	99694	241724
292	100030	241371
293	100391	241076
294	100716	240695
295	101069	240380
296	101405	240027
297	101746	239685
298	102102	239376
299	102441	239030
300	102784	238692
301	103115	238325
302	103462	237998
303	103782	237607
304	104125	237269
305	104469	236935
306	104812	236595
307	105135	236213
308	105498	235921
309	105835	235568
310	106162	235196
311	106484	234812
312	106838	234497
313	107184	234167
314	107516	233806
315	107857	233463
316	108197	233119
317	108530	232760
318	108853	232380
319	109223	232099
320	109577	231785
321	109907	231419
322	110257	231096
323	110604	230767
324	110954	230443
325	111300	230112
326	111657	229801
327	111989	229441
328	112302	229042
329	112650	228714
330	112999	228388
331	113318	228001
332	113659	227659
333	113991	227300
334	114313	226919
335	114661	226593
336	114972	226192
337	115320	225863
338	115654	225509
339	116002	225180
340	116304	224764
341	116665	224461
342	116980	224071
343	117322	223731
344	117629	223326
345	117970	222985
346	118290	222603
347	118616	222235
348	118957	221895
349	119310	221577
350	119657	221246
351	119998	220905
352	120348	220582
353	120692	220246
354	121017	219877
355	121346	219514
356	121676	219154
357	122030	218836
358	122385	218521
359	122721	218171
360	123067	217839
361	123414	217509
362	123758	217174
363	124083	216805
364	124438	216488
365	124776	216142
366	125116	215799
367	125438	215427
368	125764	215059
369	126114	214735
370	126478	214434
371	126792	214047
372	127144	213725
373	127497	213404
374	127851	213085
375	128194	212748
376	128540	212416
377	128886	212082
378	129235	211755
379	129560	211388
380	129881	211015
381	130196	210632
382	130557	210323
383	130868	209934
384	131210	209595
385	131529	209221
386	131861	208865
387	132191	208507
388	132530	208164
389	132832	207763
390	133176	207427
391	133524	207099
392	133840	206719
393	134162	206351
394	134519	206035
395	134865	205703
396	135217	205380
397	135536	205007
398	135893	204691
399	136218	204327
400	136538	203956
401	136868	203599
402	137196	203241
403	137549	202919
404	137868	202547
405	138208	202206
406	138548	201866
407	138867	201494
408	139195	201135
409	139544	200808
410	139901	200491
411	140224	200126
412	140535	199743
413	140854	199374
414	141210	199055
415	141565	198735
416	141936	198439
417	142284	198108
418	142643	197793
419	142966	197429
420	143297	197077
421	143637	196736
422	143988	196410
423	144340	196085
424	144677	195739
425	145028	195413
426	145348	195046
427	145688	194704
428	145999	194325
429	146365	194019
430	146729	193710
431	147097	193405
432	147426	193050
433	147779	192725
434	148096	192355
435	148443	192022
436	148797	191700
437	149149	191374
438	149489	191033
439	149798	190652
440	150142	190316
441	150496	189993
442	150823	189635
443	151152	189280
444	151480	188925
445	151846	188615
446	152198	188290
447	152516	187921
448	152834	187553
449	153186	187227
450	153536	186898
451	153885	186569
452	154227	186231
453	154569	185891
454	154881	185517
455	155212	185165
456	155562	184836
457	155940	184540
458	156355	184288
459	156747	184007
460	157125	183710
461	157491	183399
462	157869	183100
463	158239	182794
464	158605	182481
465	158924	182115
466	159255	181763
467	159602	181427
468	159937	181080
469	160273	180734
470	160585	180360
471	160944	180039
472	161275	179687
473	161606	179335
474	161939	178985
475	162264	178627
476	162589	178269
477	162909	177905
478	163215	177526
479	163549	177178
480	163856	176801
481	164160	176420
482	164467	176044
483	164784	175679
484	165093	175305
485	165426	174957
486	165759	174609
487	166054	174221
488	166361	173846
489	166672	173475
490	166965	173086
491	167297	172738
492	167600	172360
493	167893	171971
494	168193	171591
495	168489	171206
496	168826	170864
497	169187	170546
498	169530	170210
499	169882	169882
500	170201	169521
501	170554	169195
502	170981	168941
503	171377	168657
504	171717	168317
505	172036	167957
506	172369	167609
507	172674	167236
508	172975	166858
509	173316	166519
510	173646	166170
511	173984	165828
512	174279	165446
513	174614	165102
514	174943	164752
515	175248	164380
516	175555	164009
517	175859	163637
518	176197	163297
519	176507	162929
520	176844	162588
521	177167	162233
522	177467	161858
523	177768	161484
524	178083	161123
525	178411	160773
526	178747	160431
527	179077	160084
528	179407	159736
529	179732	159385
530	180057	159034
531	180379	158679
532	180708	158331
533	181006	157957
534	181353	157625
535	181693	157287
536	182034	156949
537	182346	156587
538	182690	156252
539	183014	155901
540	183350	155560
541	183680	155213
542	183986	154846
543	184287	154476
544	184595	154111
545	184904	153748
546	185228	153397
547	185547	153043
548	185856	152680
549	186167	152319
550	186481	151960
551	186787	151595
552	187096	151233
553	187402	150869
554	187713	150509
555	188056	150174
556	188377	149822
557	188728	149494
558	189050	149143
559	189373	148793
560	189724	148465
561	190070	148133
562	190395	147784
563	190714	147431
564	191066	147104
565	191447	146799
566	191787	146461
567	192144	146138
568	192461	145783
569	192778	145429
570	193073	145058
571	193378	144695
572	193686	144335
573	193985	143968
574	194312	143622
575	194618	143260
576	194941	142912
577	195246	142550
578	195549	142187
579	195854	141825
580	196199	141493
581	196516	141140
582	196843	140795
583	197186	140461
584	197528	140127
585	197837	139768
586	198178	139434
587	198513	139094
588	198831	138743
589	199140	138385
590	199436	138019
591	199743	137661
592	200041	137296
593	200370	136953
594	200712	136619
595	201020	136262
596	201357	135925
597	201675	135574
598	202013	135237
599	202347	134898
600	202673	134553
601	202991	134203
602	203331	133868
603	203677	133537
604	204020	133203
605	204385	132884
606	204728	132550
607	205038	132196
608	205372	131856
609	205699	131512
610	206016	131162
611	206312	130799
612	206652	130464
613	206994	130129
614	207327	129790
615	207698	129474
616	208041	129140
617	208382	128805
618	208688	128449
619	209004	128099
620	209344	127764
621	209649	127407
622	209950	127048
623	210270	126701
624	210598	126359
625	210936	126022
626	211292	125697
627	211611	125349
628	211956	125017
629	212259	124660
630	212587	124318
631	212912	123974
632	213250	123638
633	213565	123288
634	213900	122950
635	214202	122594
636	214538	122256
637	214868	121916
638	215195	121573
639	215505	121222
640	215808	120866
641	216128	120520
642	216421	120159
643	216758	119822
644	217085	119481
645	217392	119128
646	217720	118787
647	218055	118450
648	218383	118108
649	218716	117770
650	219046	117430
651	219369	117086
652	219702	116748
653	220032	116408
654	220366	116070
655	220665	115714
656	220990	115372
657	221327	115036
658	221655	114695
659	221989	114358
660	222295	114006
661	222606	113656
662	222941	113320
663	223270	112980
664	223589	112635
665	223926	112299
666	224233	111948
667	224533	111594
668	224874	111260
669	225199	110919
670	225527	110579
671	225866	110244
672	226167	109891
673	226503	109555
674	226841	109220
675	227148	108870
676	227479	108531
677	227777	108177
678	228099	107834
679	228407	107485
680	228760	107158
681	229074	106811
682	229423	106482
683	229744	106139
684	230047	105788
685	230376	105449
686	230685	105101
687	230989	104750
688	231292	104400
689	231594	104049
690	231895	103698
691	232233	103363
692	232538	103014
693	232877	102680
694	233208	102343
695	233544	102007
696	233874	101670
697	234207	101333
698	234546	100999
699	234877	100661
700	235209	100324
701	235509	99974
702	235801	99620
703	236109	99273
704	236442	98937
705	236772	98599
706	237078	98251
707	237384	97904
708	237702	97562
709	238030	97223
710	238331	96874
711	238630	96524
712	238967	96190
713	239303	95855
714	239669	95532
715	240022	95204
716	240333	94859
717	240665	94523
718	240972	94176
719	241299	93838
720	241609	93493
721	241921	93149
722	242241	92808
723	242576	92474
724	242883	92128
725	243173	91776
726	243480	91430
727	243812	91094
728	244125	90751
729	244447	90411
730	244751	90065
731	245047	89716
732	245351	89370
733	245678	89033
734	245984	88688
735	246305	88348
736	246619	88006
737	246929	87663
738	247252	87324
739	247579	86987
740	247915	86653
741	248235	86313
742	248555	85974
743	248863	85630
744	249170	85286
745	249476	84942
746	249771	84594
747	250074	84249
748	250395	83910
749	250710	83570
750	251089	83250
751	251399	82908
752	251701	82563
753	252030	82227
754	252341	81885
755	252659	81546
756	253001	81214
757	253302	80869
758	253640	80536
759	253971	80201
760	254281	79859
761	254612	79524
762	254948	79191
763	255281	78856
764	255592	78515
765	255887	78169
766	256232	77838
767	256535	77495
768	256864	77159
769	257158	76813
770	257458	76469
771	257783	76132
772	258114	75798
773	258451	75465
774	258782	75130
775	259081	74786
776	259393	74446
777	259710	74107
778	260012	73764
779	260349	73431
780	260680	73097
781	260990	72756
782	261327	72424
783	261625	72080
784	261945	71742
785	262257	71403
786	262569	71063
787	262894	70728
788	263208	70389
789	263527	70051
790	263830	69709
791	264137	69369
792	264444	69029
793	264755	68689
794	265051	68346
795	265382	68012
796	265720	67680
797	266058	67348
798	266397	67016
799	266707	66676
800	267011	66336
801	267341	66002
802	267649	65662
803	267973	65326
804	268285	64988
805	268615	64654
806	268925	64315
807	269238	63977
808	269564	63642
809	269894	63308
810	270222	62974
811	270524	62633
812	270860	62301
813	271205	61970
814	271522	61633
815	271844	61298
816	272170	60963
817	272477	60624
818	272801	60289
819	273124	59954
820	273422	59613
821	273750	59279
822	274088	58947
823	274412	58612
824	274768	58284
825	275079	57946
826	275424	57615
827	275770	57285
828	276124	56957
829	276427	56617
830	276793	56291
831	277139	55960
832	277463	55625
833	277795	55292
834	278139	54961
835	278480	54630
836	278774	54289
837	279120	53958
838	279455	53626
839	279803	53295
840	280137	52962
841	280505	52636
842	280848	52305
843	281175	51970
844	281493	51634
845	281806	51298
846	282167	50969
847	282481	50633
848	282841	50305
849	283150	49967
850	283452	49629
851	283748	49289
852	284076	48955
853	284416	48623
854	284726	48286
855	285046	47951
856	285355	47614
857	285696	47283
858	286023	46949
859	286335	46612
860	286645	46276
861	286956	45939
862	287298	45608
863	287626	45274
864	287955	44941
865	288261	44603
866	288577	44268
867	288912	43935
868	289218	43599
869	289543	43265
870	289850	42928
871	290148	42590
872	290455	42254
873	290762	41917
874	291081	41583
875	291409	41249
876	291751	40918
877	292054	40581
878	292360	40245
879	292699	39913
880	293022	39579
881	293361	39247
882	293686	38914
883	293978	38576
884	294278	38239
885	294615	37907
886	294936	37573
887	295245	37238
888	295551	36902
889	295859	36566
890	296204	36235
891	296549	35905
892	296889	35573
893	297188	35237
894	297502	34902
895	297812	34567
896	298122	34232
897	298452	33899
898	298758	33564
899	299064	33229
900	299431	32900
901	299769	32569
902	300111	32237
903	300505	31912
904	300898	31586
905	301308	31261
906	301690	30934
907	302051	30604
908	302367	30269
909	302776	29944
910	303181	29619
911	303544	29289
912	303889	28957
913	304218	28624
914	304587	28294
915	304891	27959
916	305213	27625
917	305554	27293
918	305895	26961
919	306282	26633
920	306621	26300
921	306994	25971
922	307374	25642
923	307692	25308
924	308035	24975
925	308373	24643
926	308748	24313
927	309103	23982
928	309438	23649
929	309773	23316
930	310112	22983
931	310422	22648
932	310757	22315
933	311090	21982
934	311442	21651
935	311745	21315
936	312095	20984
937	312402	20649
938	312713	20314
939	313022	19980
940	313319	19644
941	313655	19312
942	313958	18977
943	314266	18642
944	314571	18308
945	314875	17973
946	315175	17639
947	315498	17305
948	315822	16972
949	316181	16641
950	316540	16309
951	316847	15975
952	317179	15642
953	317537	15311
954	317873	14978
955	318186	14644
956	318532	14312
957	318843	13978
958	319148	13644
959	319486	13311
960	319786	12977
961	320121	12645
962	320456	12312
963	320760	11978
964	321066	11644
965	321413	11312
966	321742	10979
967	322044	10646
968	322341	10312
969	322677	9979
970	323009	9647
971	323312	9313
972	323613	8980
973	323956	8647
974	324287	8315
975	324586	7981
976	324878	7648
977	325195	7315
978	325508	6982
979	325819	6649
980	326128	6316
981	326435	5983
982	326757	5650
983	327095	5318
984	327393	4985
985	327719	4653
986	328025	4320
987	328354	3988
988	328674	3655
989	328979	3323
990	329282	2990
991	329586	2657
992	329925	2325
993	330233	1993
994	330541	1661
995	330846	1328
996	331158	996
997	331462	664
998	331778	332
999	332084	0
